@relation ac

 

@attribute temperature real
@attribute humidity real
@ATTRIBUTE hour DATE "yyyy-MM-dd HH:mm:ss"
@attribute turnOn {Y,N}

 

 

@data
18,90,"2018-03-15 2:22:10",N

18,84,"2018-03-15 3:22:10",N

19,62,"2018-03-15 4:22:10",N

19,95,"2018-03-15 5:22:10",N

20,100,"2018-03-15 6:22:10",N

21,69,"2018-03-15 7:22:10",Y

22,98,"2018-03-15 8:22:10",Y

22,87,"2018-03-15 9:22:10",Y

23,73,"2018-03-15 10:22:10",Y

24,12,"2018-03-15 11:22:10",Y

24,25,"2018-03-15 12:22:10",Y

24,29,"2018-03-15 13:22:10",Y

23,100,"2018-03-15 14:22:10",Y

23,58,"2018-03-15 15:22:10",Y

22,52,"2018-03-15 16:22:10",Y

20,64,"2018-03-15 17:22:10",N

19,61,"2018-03-15 18:22:10",N

18,98,"2018-03-15 19:22:10",N

16,92,"2018-03-15 20:22:10",N

14,64,"2018-03-15 21:22:10",N

10,83,"2018-03-15 22:22:10",N

9,73,"2018-03-15 23:22:10",N

17,79,"2018-03-16 0:22:10",N

18,85,"2018-03-16 1:22:10",N

18,52,"2018-03-16 2:22:10",N

18,95,"2018-03-16 3:22:10",N

19,94,"2018-03-16 4:22:10",N

19,92,"2018-03-16 5:22:10",N

20,89,"2018-03-16 6:22:10",N

21,95,"2018-03-16 7:22:10",Y

22,88,"2018-03-16 8:22:10",Y

22,87,"2018-03-16 9:22:10",Y

23,79,"2018-03-16 10:22:10",Y

24,26,"2018-03-16 11:22:10",Y

24,21,"2018-03-16 12:22:10",Y

24,16,"2018-03-16 13:22:10",Y

23,93,"2018-03-16 14:22:10",Y

23,88,"2018-03-16 15:22:10",Y

22,63,"2018-03-16 16:22:10",Y

20,68,"2018-03-16 17:22:10",N

19,78,"2018-03-16 18:22:10",N

18,91,"2018-03-16 19:22:10",N

16,83,"2018-03-16 20:22:10",N

14,64,"2018-03-16 21:22:10",N

10,95,"2018-03-16 22:22:10",N

9,63,"2018-03-16 23:22:10",N

17,91,"2018-03-17 0:22:10",N

18,57,"2018-03-17 1:22:10",N

18,63,"2018-03-17 2:22:10",N

18,56,"2018-03-17 3:22:10",N

19,70,"2018-03-17 4:22:10",N

19,55,"2018-03-17 5:22:10",N

20,98,"2018-03-17 6:22:10",N

21,82,"2018-03-17 7:22:10",Y

22,94,"2018-03-17 8:22:10",Y

22,67,"2018-03-17 9:22:10",Y

23,80,"2018-03-17 10:22:10",Y

24,3,"2018-03-17 11:22:10",Y

24,21,"2018-03-17 12:22:10",Y

24,12,"2018-03-17 13:22:10",Y

23,58,"2018-03-17 14:22:10",Y

23,90,"2018-03-17 15:22:10",Y

22,66,"2018-03-17 16:22:10",Y

20,51,"2018-03-17 17:22:10",N

19,72,"2018-03-17 18:22:10",N

18,76,"2018-03-17 19:22:10",N

16,93,"2018-03-17 20:22:10",N

14,98,"2018-03-17 21:22:10",N

10,94,"2018-03-17 22:22:10",N

9,67,"2018-03-17 23:22:10",N

17,76,"2018-03-18 0:22:10",N

18,73,"2018-03-18 1:22:10",N

18,52,"2018-03-18 2:22:10",N

18,71,"2018-03-18 3:22:10",N

19,63,"2018-03-18 4:22:10",N

19,93,"2018-03-18 5:22:10",N

20,97,"2018-03-18 6:22:10",N

21,69,"2018-03-18 7:22:10",Y

22,69,"2018-03-18 8:22:10",Y

22,86,"2018-03-18 9:22:10",Y

23,50,"2018-03-18 10:22:10",Y

24,7,"2018-03-18 11:22:10",Y

24,15,"2018-03-18 12:22:10",Y

24,35,"2018-03-18 13:22:10",Y

23,84,"2018-03-18 14:22:10",Y

23,61,"2018-03-18 15:22:10",Y

22,70,"2018-03-18 16:22:10",Y

20,81,"2018-03-18 17:22:10",N

19,82,"2018-03-18 18:22:10",N

18,83,"2018-03-18 19:22:10",N

16,74,"2018-03-18 20:22:10",N

14,85,"2018-03-18 21:22:10",N

10,84,"2018-03-18 22:22:10",N

9,57,"2018-03-18 23:22:10",N

17,74,"2018-03-19 0:22:10",N

18,91,"2018-03-19 1:22:10",N

18,97,"2018-03-19 2:22:10",N

18,67,"2018-03-19 3:22:10",N

19,88,"2018-03-19 4:22:10",N

19,94,"2018-03-19 5:22:10",N

20,78,"2018-03-19 6:22:10",N

21,80,"2018-03-19 7:22:10",Y

22,57,"2018-03-19 8:22:10",Y

22,53,"2018-03-19 9:22:10",Y

23,93,"2018-03-19 10:22:10",Y

24,39,"2018-03-19 11:22:10",Y

24,49,"2018-03-19 12:22:10",Y

24,39,"2018-03-19 13:22:10",Y

23,70,"2018-03-19 14:22:10",Y

23,75,"2018-03-19 15:22:10",Y

22,83,"2018-03-19 16:22:10",Y

20,55,"2018-03-19 17:22:10",N

19,97,"2018-03-19 18:22:10",N

18,75,"2018-03-19 19:22:10",N

16,67,"2018-03-19 20:22:10",N

14,87,"2018-03-19 21:22:10",N

10,78,"2018-03-19 22:22:10",N

9,94,"2018-03-19 23:22:10",N

17,91,"2018-03-20 0:22:10",N

18,59,"2018-03-20 1:22:10",N

18,95,"2018-03-20 2:22:10",N

18,72,"2018-03-20 3:22:10",N

19,69,"2018-03-20 4:22:10",N

19,76,"2018-03-20 5:22:10",N

20,94,"2018-03-20 6:22:10",N

21,71,"2018-03-20 7:22:10",Y

22,81,"2018-03-20 8:22:10",Y

22,80,"2018-03-20 9:22:10",Y

23,81,"2018-03-20 10:22:10",Y

24,47,"2018-03-20 11:22:10",Y

24,8,"2018-03-20 12:22:10",Y

24,7,"2018-03-20 13:22:10",Y

23,77,"2018-03-20 14:22:10",Y

23,62,"2018-03-20 15:22:10",Y

22,61,"2018-03-20 16:22:10",Y

20,82,"2018-03-20 17:22:10",N

19,91,"2018-03-20 18:22:10",N

18,57,"2018-03-20 19:22:10",N

16,87,"2018-03-20 20:22:10",N

14,98,"2018-03-20 21:22:10",N

10,67,"2018-03-20 22:22:10",N

9,84,"2018-03-20 23:22:10",N

17,74,"2018-03-21 0:22:10",N

18,89,"2018-03-21 1:22:10",N

18,100,"2018-03-21 2:22:10",N

18,79,"2018-03-21 3:22:10",N

19,96,"2018-03-21 4:22:10",N

19,63,"2018-03-21 5:22:10",N

20,91,"2018-03-21 6:22:10",N

21,81,"2018-03-21 7:22:10",Y

22,63,"2018-03-21 8:22:10",Y

22,55,"2018-03-21 9:22:10",Y

23,84,"2018-03-21 10:22:10",Y

24,38,"2018-03-21 11:22:10",Y

24,5,"2018-03-21 12:22:10",Y

24,35,"2018-03-21 13:22:10",Y

23,71,"2018-03-21 14:22:10",Y

23,75,"2018-03-21 15:22:10",Y

22,75,"2018-03-21 16:22:10",Y

20,54,"2018-03-21 17:22:10",N

19,59,"2018-03-21 18:22:10",N

18,71,"2018-03-21 19:22:10",N

16,80,"2018-03-21 20:22:10",N

14,56,"2018-03-21 21:22:10",N

10,60,"2018-03-21 22:22:10",N

9,55,"2018-03-21 23:22:10",N

17,63,"2018-03-22 0:22:10",N

18,71,"2018-03-22 1:22:10",N

18,50,"2018-03-22 2:22:10",N

18,91,"2018-03-22 3:22:10",N

19,80,"2018-03-22 4:22:10",N

19,76,"2018-03-22 5:22:10",N

20,63,"2018-03-22 6:22:10",N

21,60,"2018-03-22 7:22:10",Y

22,74,"2018-03-22 8:22:10",Y

22,83,"2018-03-22 9:22:10",Y

23,96,"2018-03-22 10:22:10",Y

24,40,"2018-03-22 11:22:10",Y

24,48,"2018-03-22 12:22:10",Y

24,49,"2018-03-22 13:22:10",Y

23,89,"2018-03-22 14:22:10",Y

23,88,"2018-03-22 15:22:10",Y

22,68,"2018-03-22 16:22:10",Y

20,65,"2018-03-22 17:22:10",N

19,59,"2018-03-22 18:22:10",N

18,51,"2018-03-22 19:22:10",N

16,66,"2018-03-22 20:22:10",N

14,76,"2018-03-22 21:22:10",N

10,97,"2018-03-22 22:22:10",N

9,51,"2018-03-22 23:22:10",N

17,57,"2018-03-23 0:22:10",N

18,61,"2018-03-23 1:22:10",N

18,91,"2018-03-23 2:22:10",N

18,65,"2018-03-23 3:22:10",N

19,56,"2018-03-23 4:22:10",N

19,84,"2018-03-23 5:22:10",N

20,85,"2018-03-23 6:22:10",N

21,96,"2018-03-23 7:22:10",Y

22,58,"2018-03-23 8:22:10",Y

22,64,"2018-03-23 9:22:10",Y

23,57,"2018-03-23 10:22:10",Y

24,38,"2018-03-23 11:22:10",Y

24,41,"2018-03-23 12:22:10",Y

24,40,"2018-03-23 13:22:10",Y

23,56,"2018-03-23 14:22:10",Y

23,59,"2018-03-23 15:22:10",Y

22,57,"2018-03-23 16:22:10",Y

20,66,"2018-03-23 17:22:10",N

19,86,"2018-03-23 18:22:10",N

18,89,"2018-03-23 19:22:10",N

16,99,"2018-03-23 20:22:10",N

14,84,"2018-03-23 21:22:10",N

10,53,"2018-03-23 22:22:10",N

9,89,"2018-03-23 23:22:10",N

17,59,"2018-03-24 0:22:10",N

18,73,"2018-03-24 1:22:10",N

18,52,"2018-03-24 2:22:10",N

18,79,"2018-03-24 3:22:10",N

19,72,"2018-03-24 4:22:10",N

19,94,"2018-03-24 5:22:10",N

20,51,"2018-03-24 6:22:10",N

21,51,"2018-03-24 7:22:10",Y

22,54,"2018-03-24 8:22:10",Y

22,82,"2018-03-24 9:22:10",Y

23,89,"2018-03-24 10:22:10",Y

24,39,"2018-03-24 11:22:10",Y

24,30,"2018-03-24 12:22:10",Y

24,0,"2018-03-24 13:22:10",Y

23,94,"2018-03-24 14:22:10",Y

23,77,"2018-03-24 15:22:10",Y

22,81,"2018-03-24 16:22:10",Y

20,74,"2018-03-24 17:22:10",N

19,61,"2018-03-24 18:22:10",N

18,86,"2018-03-24 19:22:10",N

16,58,"2018-03-24 20:22:10",N

14,78,"2018-03-24 21:22:10",N

10,78,"2018-03-24 22:22:10",N

9,65,"2018-03-24 23:22:10",N

17,59,"2018-03-25 0:22:10",N

18,82,"2018-03-25 1:22:10",N

18,70,"2018-03-25 2:22:10",N

18,51,"2018-03-25 3:22:10",N

19,76,"2018-03-25 4:22:10",N

19,56,"2018-03-25 5:22:10",N

20,88,"2018-03-25 6:22:10",N

21,91,"2018-03-25 7:22:10",Y

22,95,"2018-03-25 8:22:10",Y

22,53,"2018-03-25 9:22:10",Y

23,55,"2018-03-25 10:22:10",Y

24,40,"2018-03-25 11:22:10",Y

24,11,"2018-03-25 12:22:10",Y

24,26,"2018-03-25 13:22:10",Y

23,85,"2018-03-25 14:22:10",Y

23,89,"2018-03-25 15:22:10",Y

22,95,"2018-03-25 16:22:10",Y

20,64,"2018-03-25 17:22:10",N

19,65,"2018-03-25 18:22:10",N

18,76,"2018-03-25 19:22:10",N

16,57,"2018-03-25 20:22:10",N

14,76,"2018-03-25 21:22:10",N

10,97,"2018-03-25 22:22:10",N

9,75,"2018-03-25 23:22:10",N

17,81,"2018-03-26 0:22:10",N

18,51,"2018-03-26 1:22:10",N

18,73,"2018-03-26 2:22:10",N

18,67,"2018-03-26 3:22:10",N

19,74,"2018-03-26 4:22:10",N

19,72,"2018-03-26 5:22:10",N

20,64,"2018-03-26 6:22:10",N

21,88,"2018-03-26 7:22:10",Y

22,59,"2018-03-26 8:22:10",Y

22,66,"2018-03-26 9:22:10",Y

23,51,"2018-03-26 10:22:10",Y

24,29,"2018-03-26 11:22:10",Y

24,39,"2018-03-26 12:22:10",Y

24,8,"2018-03-26 13:22:10",Y

23,100,"2018-03-26 14:22:10",Y

23,56,"2018-03-26 15:22:10",Y

22,62,"2018-03-26 16:22:10",Y

20,89,"2018-03-26 17:22:10",N

19,76,"2018-03-26 18:22:10",N

18,74,"2018-03-26 19:22:10",N

16,68,"2018-03-26 20:22:10",N

14,87,"2018-03-26 21:22:10",N

10,92,"2018-03-26 22:22:10",N

9,100,"2018-03-26 23:22:10",N

17,92,"2018-03-27 0:22:10",N

18,65,"2018-03-27 1:22:10",N

18,89,"2018-03-27 2:22:10",N

18,74,"2018-03-27 3:22:10",N

19,99,"2018-03-27 4:22:10",N

19,100,"2018-03-27 5:22:10",N

20,93,"2018-03-27 6:22:10",N

21,77,"2018-03-27 7:22:10",Y

22,58,"2018-03-27 8:22:10",Y

22,55,"2018-03-27 9:22:10",Y

23,75,"2018-03-27 10:22:10",Y

24,32,"2018-03-27 11:22:10",Y

24,28,"2018-03-27 12:22:10",Y

24,40,"2018-03-27 13:22:10",Y

23,92,"2018-03-27 14:22:10",Y

23,79,"2018-03-27 15:22:10",Y

22,68,"2018-03-27 16:22:10",Y

20,61,"2018-03-27 17:22:10",N

19,92,"2018-03-27 18:22:10",N

18,54,"2018-03-27 19:22:10",N

16,73,"2018-03-27 20:22:10",N

14,95,"2018-03-27 21:22:10",N

